epoch,train_loss,val_loss
0,0.970085859298706,1.62594473361969
1,0.9528223276138306,1.5665969848632812
2,0.9334437251091003,1.467287540435791
3,0.9271712303161621,1.608242154121399
4,0.9152560830116272,1.3648713827133179
5,0.8497519493103027,1.1107670068740845
6,0.7528679370880127,0.8008187413215637
7,0.7453798055648804,0.8043482899665833
8,0.7210928201675415,0.8407472968101501
9,0.6866018772125244,0.9282834529876709
10,0.6465045809745789,0.6909924149513245
11,0.6324954032897949,0.6061134338378906
12,0.6267194747924805,0.5632417798042297
13,0.5912532806396484,0.5395057201385498
14,0.5681601762771606,0.5324742197990417
15,0.5789826512336731,0.5278943181037903
16,0.5714915990829468,0.5078302621841431
17,0.5631324052810669,0.47925370931625366
18,0.5630475878715515,0.5012660026550293
19,0.5696395635604858,0.495096355676651
20,0.583012580871582,0.5087478160858154
21,0.5624974370002747,0.4863920211791992
22,0.5537335276603699,0.44016408920288086
23,0.5449380278587341,0.45801079273223877
24,0.5365623235702515,0.4550054669380188
25,0.5459439754486084,0.5161992311477661
26,0.5544955134391785,0.4779721796512604
27,0.5542584657669067,0.4695959687232971
28,0.5389260649681091,0.4731920659542084
29,0.5261022448539734,0.4370700418949127
30,0.5179511308670044,0.4224993884563446
31,0.5168536901473999,0.4975033700466156
32,0.5134347677230835,0.42211857438087463
33,0.5028209090232849,0.47138747572898865
34,0.5612649917602539,0.4741193354129791
35,0.5594047904014587,0.43255704641342163
36,0.5420369505882263,0.43795129656791687
37,0.5336257815361023,0.4520869851112366
38,0.5310930013656616,0.47572147846221924
39,0.5055140256881714,0.5074369311332703
40,0.5273771286010742,0.44705265760421753
