epoch,train_loss,val_loss
0,0.9473651051521301,1.6115384101867676
1,0.9398940205574036,1.5543932914733887
2,0.9274510145187378,1.6284325122833252
3,0.9065550565719604,1.3476336002349854
4,0.8595974445343018,1.0012338161468506
5,0.7914841175079346,0.9118990302085876
6,0.7508623600006104,1.0264935493469238
7,0.7465003132820129,0.6388362646102905
8,0.7125917673110962,0.5483633279800415
9,0.7227380275726318,0.592467725276947
10,0.684978723526001,0.5948126316070557
11,0.7239437103271484,0.7855863571166992
12,0.6873391270637512,0.7182180881500244
13,0.6618700623512268,0.5553133487701416
14,0.6644759774208069,0.5887300968170166
15,0.6570823788642883,0.5736026167869568
16,0.6474512815475464,0.6116197109222412
17,0.6384643316268921,0.5585231184959412
18,0.6472458839416504,0.5787600874900818
