epoch,train_loss,val_loss
0,0.9502408504486084,1.5948231220245361
1,0.94235759973526,1.5928460359573364
2,0.9348077774047852,1.559249758720398
3,0.9130849838256836,1.4579650163650513
4,0.8473908305168152,1.206890344619751
5,0.7259687781333923,0.7260279059410095
6,0.7428655624389648,0.664713442325592
7,0.6596566438674927,0.6141476035118103
8,0.6358992457389832,0.6103410720825195
9,0.6141154766082764,0.5734007358551025
10,0.607292652130127,0.5503620505332947
11,0.5947524309158325,0.5441402792930603
12,0.5972146987915039,0.5128713846206665
13,0.5769069790840149,0.5199257731437683
14,0.5753083825111389,0.5042851567268372
15,0.5756771564483643,0.4984620213508606
16,0.5720098614692688,0.5031624436378479
17,0.5776993036270142,0.48400723934173584
18,0.5800485610961914,0.4914606511592865
19,0.5624716877937317,0.49619561433792114
20,0.5607731342315674,0.4862675070762634
21,0.5485324859619141,0.4734300971031189
22,0.5522361993789673,0.480074942111969
23,0.5472958087921143,0.47479012608528137
24,0.5410248637199402,0.47139617800712585
25,0.542976438999176,0.47110381722450256
26,0.5391396284103394,0.4676145315170288
27,0.536207914352417,0.46335527300834656
28,0.5311421155929565,0.45379894971847534
29,0.5310273766517639,0.4748387038707733
30,0.5331881046295166,0.46768930554389954
31,0.5245732665061951,0.4568237066268921
32,0.5274592041969299,0.4597357213497162
33,0.5281569361686707,0.45254796743392944
34,0.527160108089447,0.4553998112678528
35,0.5228872895240784,0.45455294847488403
36,0.5212163925170898,0.4631352722644806
37,0.5229451060295105,0.45571720600128174
38,0.5201454162597656,0.4512292146682739
39,0.5172836780548096,0.4600483477115631
40,0.5178958177566528,0.44582146406173706
41,0.5166590809822083,0.44104593992233276
42,0.5099433660507202,0.44663143157958984
43,0.5082710385322571,0.4567086100578308
44,0.5108044147491455,0.4427785575389862
45,0.5074559450149536,0.4481043815612793
46,0.5070198774337769,0.43879377841949463
47,0.5051794052124023,0.43484577536582947
48,0.5073955059051514,0.435608834028244
49,0.5019245147705078,0.45669522881507874
50,0.5012558102607727,0.4399113953113556
51,0.5002857446670532,0.4512244462966919
52,0.49893447756767273,0.4555723965167999
53,0.4989925026893616,0.42992889881134033
54,0.498138427734375,0.45540937781333923
55,0.5145946145057678,0.45474064350128174
56,0.5053027272224426,0.45136308670043945
57,0.49435266852378845,0.4391673803329468
58,0.49890148639678955,0.4490188956260681
59,0.4898158609867096,0.4566723704338074
60,0.48936355113983154,0.43702390789985657
61,0.48644787073135376,0.44579869508743286
62,0.4864051043987274,0.4344528615474701
63,0.48642677068710327,0.4365592300891876
64,0.48733392357826233,0.44679051637649536
65,0.48905202746391296,0.4500259757041931
66,0.4844481647014618,0.4364032447338104
67,0.48283883929252625,0.4384210407733917
68,0.4804631471633911,0.43777990341186523
69,0.4809434711933136,0.4580196142196655
70,0.485483855009079,0.45084047317504883
71,0.47972917556762695,0.4469498097896576
72,0.4773348569869995,0.4411246180534363
73,0.4798327088356018,0.43828025460243225
74,0.4754768908023834,0.4463406801223755
75,0.4769468307495117,0.43658778071403503
76,0.4839085340499878,0.4313392639160156
77,0.4755522906780243,0.42831799387931824
