epoch,train_loss,val_loss
0,0.9481676816940308,1.612101674079895
1,0.9384968280792236,1.5798602104187012
2,0.9189102649688721,1.470557689666748
3,0.8675531148910522,1.2518335580825806
4,0.77628093957901,1.010710597038269
5,0.6971094608306885,0.7704588770866394
6,0.6721637845039368,0.6497483849525452
7,0.6505258083343506,0.66157466173172
8,0.6354645490646362,0.5833699703216553
9,0.6393707394599915,0.5951360464096069
10,0.6182289719581604,0.568764328956604
11,0.6109940409660339,0.5543853044509888
12,0.5985845327377319,0.5171579718589783
13,0.5913606882095337,0.521854817867279
14,0.5881147384643555,0.4881023168563843
15,0.5883504748344421,0.48416635394096375
16,0.5736090540885925,0.48457103967666626
17,0.5780966877937317,0.5334317684173584
18,0.5701011419296265,0.4796180725097656
19,0.5619667172431946,0.484596848487854
20,0.559664249420166,0.4832019507884979
21,0.555966317653656,0.459627628326416
22,0.555691659450531,0.4766918420791626
23,0.5479916334152222,0.47295448184013367
24,0.5453729033470154,0.47449448704719543
25,0.5440768599510193,0.4660062789916992
26,0.542059600353241,0.4598619341850281
27,0.5472773909568787,0.4911884665489197
28,0.53836989402771,0.4613115191459656
29,0.5393049716949463,0.46705177426338196
30,0.5411351323127747,0.4669772684574127
31,0.5376021265983582,0.4670507609844208
