pool,week,import
GBSFD,2017-12-03,209
GBSFD,2020-03-01,157
GBSFD,2020-05-03,126
GBSFD,2020-05-10,147
GBTEE,2019-03-10,179
GBTEE,2024-09-29,217
GBWID,2018-09-23,556
GBWID,2019-07-21,531
GBWID,2021-11-14,337
GBLDS,2024-12-15,126
GBLPL,2023-10-15,396
GBMNC,2018-03-11,524
GBSFD,2024-11-24,391
GBSOU,2017-02-26,634
GBDCT,2024-07-14,185
GBWID,2021-08-01,456
GBBGH,2020-05-03,425
GBBGH,2023-10-29,484
GBCDF,2023-09-17,66
GBDPT,2024-11-17,325
GBLGP,2018-03-25,2816
GBLGP,2020-11-15,1442
GBLGP,2024-06-23,1888
GBLPL,2021-12-26,381
GBLPL,2023-07-23,314
GBMNC,2018-07-08,500
GBSFD,2024-05-12,328
GBSFD,2024-11-10,394
GBSOU,2018-09-23,313
GBSOU,2022-11-13,590
GBSSH,2018-06-10,178
GBWID,2018-11-04,552
GBBFS,2022-11-27,70
GBDPT,2022-04-03,68
GBMNC,2017-09-03,645
GBTEE,2021-07-04,246
GBTEE,2022-10-09,294
GBWID,2024-02-25,378
GBCDF,2017-05-28,0
GBBFS,2019-05-12,111
GBBFS,2021-02-14,107
GBBFS,2021-03-07,76
GBBGH,2024-08-04,518
GBDCT,2021-08-01,135
GBDCT,2021-10-31,112
GBDCT,2023-07-16,79
GBGMO,2021-08-29,194
GBGMO,2023-09-24,180
GBGMO,2024-11-24,136
GBLGP,2021-02-28,1852
GBLGP,2021-10-24,1390
GBLPL,2019-03-10,531
GBLPL,2021-07-04,531
GBMNC,2017-08-13,693
GBMNC,2021-03-07,479
GBMNC,2022-02-13,338
GBSFD,2021-06-20,374
GBSFD,2023-01-29,221
GBSOU,2019-04-07,157
GBSOU,2020-12-06,266
GBSSH,2018-01-28,151
GBTEE,2024-10-06,192
GBWID,2019-11-17,547
GBWID,2021-06-27,395
GBWID,2021-11-07,378
GBBFS,2022-01-23,130
GBTEE,2018-11-04,315
GBBFS,2024-09-29,55
GBSSH,2017-01-08,100
GBBFS,2019-03-03,115
GBBFS,2021-08-29,110
GBBFS,2021-09-12,40
GBBGH,2019-11-10,616
GBDPT,2021-11-21,95
GBDPT,2023-06-04,164
GBGMO,2017-11-26,194
GBGMO,2017-12-03,207
GBGMO,2018-12-30,114
GBGMO,2019-02-17,291
GBGMO,2022-07-31,147
GBGMO,2023-08-20,125
GBLDS,2017-12-03,366
GBLDS,2018-08-26,276
GBLDS,2020-05-24,147
GBLGP,2023-10-22,1386
GBLPL,2018-04-29,490
GBMNC,2021-05-09,340
GBSFD,2018-11-04,228
GBSFD,2021-02-28,274
GBSFD,2024-02-04,460
GBSOU,2019-08-18,205
GBSSH,2019-03-24,166
GBBGH,2025-01-05,246
GBDCT,2024-09-29,164
GBLPL,2021-10-24,460
GBMNC,2021-10-24,407
GBCDF,2022-12-11,88
GBBFS,2019-11-10,180
GBBFS,2020-08-02,150
GBBFS,2022-07-24,102
GBBGH,2020-03-01,424
GBBGH,2022-12-18,552
GBCDF,2024-04-28,88
GBDCT,2021-10-24,131
GBDCT,2022-04-24,36
GBFXS,2021-12-12,4750
GBGMO,2018-10-14,231
GBGMO,2021-05-09,184
GBLDS,2023-03-26,67
GBLGP,2021-05-02,3347
GBLGP,2021-10-31,1588
GBLGP,2023-08-27,1391
GBLGP,2023-09-03,1446
GBLPL,2019-05-26,596
GBLPL,2019-06-09,596
GBLPL,2021-06-20,435
GBLPL,2024-07-14,386
GBMNC,2017-01-22,678
GBMNC,2023-10-29,297
GBSFD,2018-10-21,238
GBSFD,2021-11-21,334
GBSFD,2023-11-26,337
GBSOU,2021-07-25,496
GBSOU,2024-01-07,520
GBSSH,2024-03-17,91
GBSSH,2024-03-31,67
GBWID,2019-04-14,613
GBCDF,2017-11-19,13
GBDPT,2021-05-02,69
GBDPT,2024-11-03,255
GBLGP,2023-12-17,1031
GBMNC,2024-08-04,333
GBSFD,2023-01-22,306
GBSOU,2023-10-15,523
GBDCT,2024-07-28,61
GBMNC,2017-07-09,509
GBMNC,2022-08-07,155
GBBGH,2018-04-08,714
GBBGH,2018-08-05,853
GBBGH,2022-01-09,484
GBDCT,2022-08-14,48
GBDPT,2021-03-21,65
GBFXS,2024-12-08,3000
GBGMO,2020-12-06,344
GBLDS,2018-01-28,288
GBLDS,2024-08-25,70
GBLGP,2017-10-22,1463
GBLGP,2020-07-19,1462
GBLGP,2022-10-23,1584
GBLGP,2023-11-19,1442
GBLGP,2024-10-06,1140
GBLGP,2025-01-12,1380
GBSFD,2021-10-17,312
GBSOU,2020-11-15,335
GBSSH,2021-07-11,155
GBWID,2017-10-22,453
GBWID,2020-11-29,506
GBCDF,2024-05-26,52
GBDCT,2022-12-25,81
GBDPT,2021-05-30,64
GBLDS,2022-04-10,166
GBLPL,2019-07-28,511
GBSFD,2019-03-10,273
GBTEE,2018-10-21,288
GBTEE,2020-02-09,246
GBCDF,2019-04-14,88
GBCDF,2018-07-22,9
GBDPT,2018-07-08,24
GBBFS,2017-02-05,85
GBBFS,2023-01-22,43
GBBGH,2018-07-08,887
GBCDF,2020-07-12,184
GBDCT,2021-10-10,175
GBFXS,2018-08-19,4261
GBFXS,2020-08-23,5767
GBGMO,2020-03-01,224
GBGMO,2021-06-06,270
GBLDS,2018-12-02,242
GBLDS,2024-10-06,148
GBMNC,2018-11-11,431
GBMNC,2019-11-24,336
GBSFD,2017-01-08,152
GBSFD,2017-03-12,183
GBSSH,2018-04-29,193
GBWID,2020-09-20,465
GBWID,2022-08-21,372
GBGMO,2022-01-23,175
GBLPL,2018-03-04,436
GBSSH,2019-03-31,168
GBDPT,2020-11-08,77
GBSOU,2018-12-09,245
GBDPT,2023-12-24,153
GBDPT,2021-03-14,64
GBDPT,2024-05-26,176
GBBFS,2017-03-12,114
GBBFS,2018-11-04,142
GBBFS,2024-05-05,113
GBCDF,2019-12-08,139
GBCDF,2020-03-29,85
GBCDF,2023-07-16,65
GBCDF,2023-08-27,49
GBDCT,2021-04-18,279
GBDPT,2023-07-09,170
GBDPT,2024-04-28,155
GBFXS,2017-09-10,5382
GBFXS,2023-12-17,2654
GBGMO,2018-06-24,255
GBLDS,2017-03-19,324
GBLDS,2019-10-06,271
GBLDS,2020-06-21,133
GBLGP,2019-02-10,1390
GBLGP,2021-09-05,1459
GBLGP,2022-06-05,1668
GBLPL,2017-08-20,362
GBLPL,2018-10-28,608
GBLPL,2019-07-07,418
GBMNC,2022-12-25,166
GBSFD,2023-08-20,400
GBSOU,2018-10-28,260
GBSOU,2019-04-21,147
GBSSH,2022-06-19,152
GBTEE,2018-06-03,265
GBTEE,2018-07-29,267
GBTEE,2023-11-05,234
GBWID,2018-06-24,530
GBSFD,2017-04-09,233
GBSFD,2018-01-14,187
GBBFS,2017-03-19,167
GBBFS,2022-04-03,55
GBBFS,2023-07-23,87
GBBGH,2020-01-12,806
GBBGH,2020-06-07,388
GBBGH,2022-03-13,567
GBBGH,2022-04-24,451
GBDCT,2019-10-20,334
GBDPT,2021-11-07,117
GBDPT,2023-06-25,161
GBDPT,2024-09-29,258
GBDPT,2024-12-29,97
GBFXS,2024-01-28,3071
GBGMO,2017-06-11,235
GBGMO,2022-06-05,114
GBLDS,2018-10-07,306
GBLDS,2021-09-19,154
GBLDS,2023-04-23,156
GBLGP,2018-03-11,1759
GBLGP,2018-10-21,1216
GBLGP,2022-05-29,2499
GBLPL,2024-10-27,364
GBMNC,2023-07-23,235
GBSFD,2017-09-10,223
GBSFD,2017-09-17,168
GBSFD,2020-10-11,183
GBSFD,2022-07-03,331
GBSOU,2017-10-08,450
GBSOU,2022-02-13,397
GBSOU,2023-01-15,547
GBWID,2023-03-05,421
GBWID,2024-01-28,337
GBCDF,2022-05-29,92
GBMNC,2020-09-20,448
GBWID,2017-04-23,393
GBBFS,2022-06-19,97
GBDPT,2020-07-26,21
GBSSH,2024-09-01,83
GBCDF,2017-01-22,1
GBBFS,2021-02-07,118
GBBFS,2021-12-12,93
GBBFS,2022-07-10,96
GBBGH,2022-12-11,609
GBDCT,2019-01-13,392
GBDCT,2022-07-17,38
GBDPT,2024-11-24,284
GBLDS,2017-03-05,357
GBLDS,2017-10-08,318
GBLDS,2024-07-14,133
GBLGP,2020-05-10,1163
GBLGP,2021-01-17,2006
GBLPL,2018-08-12,618
GBLPL,2020-03-22,756
GBMNC,2020-11-22,411
GBSFD,2018-06-17,228
GBSFD,2019-01-20,248
GBSOU,2017-08-06,570
GBSSH,2017-09-24,143
GBSSH,2021-05-30,128
GBSSH,2023-03-12,229
GBWID,2018-04-29,391
GBWID,2023-05-28,306
GBWID,2024-10-13,429
GBBFS,2021-06-13,40
GBDCT,2020-06-14,212
GBLPL,2023-12-03,335
GBSFD,2021-03-14,219
GBSSH,2017-05-14,188
GBSSH,2023-12-24,74
GBMNC,2023-08-06,273
GBDPT,2022-04-24,92
GBMNC,2025-01-05,160
GBBFS,2022-01-30,66
GBBFS,2023-10-15,52
GBCDF,2021-05-16,120
GBCDF,2022-04-03,50
GBDCT,2018-02-04,411
GBFXS,2023-11-26,2225
GBFXS,2024-11-24,3491
GBLDS,2024-08-04,96
GBLGP,2017-08-27,1403
GBLGP,2021-05-23,1846
GBLPL,2020-12-13,347
GBLPL,2021-03-07,448
GBMNC,2017-04-09,794
GBMNC,2019-04-21,350
GBSFD,2024-05-19,394
GBSOU,2019-01-06,201
GBSSH,2024-04-21,127
GBTEE,2024-09-01,142
GBMNC,2018-07-29,461
GBMNC,2022-10-09,160
GBSOU,2018-12-30,64
GBLPL,2021-01-03,138
GBCDF,2025-01-12,86
GBBFS,2019-06-30,190
GBBGH,2020-11-29,565
GBBGH,2024-07-28,544
GBCDF,2020-08-30,140
GBCDF,2022-05-22,90
GBCDF,2022-06-12,42
GBDCT,2020-09-06,251
GBGMO,2023-11-19,152
GBGMO,2024-12-08,112
GBLGP,2017-12-24,1309
GBLGP,2022-12-25,1410
GBLPL,2019-05-12,502
GBLPL,2021-07-11,517
GBLPL,2021-12-19,498
GBMNC,2022-01-30,259
GBSFD,2022-11-20,352
GBSFD,2024-09-15,286
GBSOU,2021-02-07,385
GBSSH,2021-02-28,179
GBTEE,2021-02-28,247
GBTEE,2021-12-19,263
GBWID,2020-03-01,366
GBCDF,2020-05-24,76
GBDCT,2017-03-19,415
GBDCT,2020-05-10,245
GBDCT,2022-08-07,41
GBSSH,2020-10-11,96
GBLDS,2020-11-01,179
GBDCT,2017-03-05,467
GBFXS,2018-12-16,5003
GBFXS,2022-07-10,3532
GBFXS,2023-10-15,2691
GBFXS,2024-12-29,1226
GBGMO,2020-04-12,160
GBLGP,2020-10-11,2125
GBLGP,2022-03-13,2227
GBLGP,2022-10-02,2271
GBLGP,2023-04-02,1592
GBLPL,2019-03-24,525
GBLPL,2023-11-05,385
GBMNC,2020-05-17,305
GBMNC,2023-08-27,312
GBSFD,2019-02-10,214
GBSFD,2022-07-17,390
GBSFD,2024-05-26,369
GBSOU,2017-05-07,430
GBSOU,2023-04-23,839
GBTEE,2017-02-12,146
GBTEE,2021-08-29,231
GBTEE,2023-07-30,309
GBWID,2017-04-02,376
GBWID,2017-05-28,508
GBWID,2017-06-25,433
GBWID,2020-02-23,448
GBWID,2021-02-28,442
GBBFS,2023-05-14,96
GBBGH,2019-09-01,619
GBDPT,2021-10-24,98
GBTEE,2018-09-30,247
GBWID,2018-09-09,750
GBWID,2022-06-12,240
GBMNC,2024-10-06,273
GBSFD,2018-09-23,263
GBDPT,2018-06-17,39
GBBFS,2019-12-22,156
GBBGH,2017-07-09,540
GBBGH,2018-01-28,907
GBBGH,2018-09-16,906
GBBGH,2020-11-08,556
GBFXS,2024-02-25,3812
GBGMO,2017-10-29,245
GBGMO,2019-06-02,307
GBGMO,2019-11-17,181
GBGMO,2021-03-28,146
GBLDS,2019-02-24,305
GBLGP,2020-02-02,1349
GBLPL,2022-05-29,363
GBLPL,2022-12-18,473
GBLPL,2024-01-21,369
GBMNC,2017-03-12,710
GBMNC,2022-05-01,215
GBMNC,2023-08-20,197
GBBFS,2018-02-11,251
GBDCT,2017-04-23,332
GBLPL,2024-08-25,390
GBSFD,2024-01-07,173
GBSOU,2022-09-25,514
GBSSH,2019-12-15,148
GBBFS,2017-09-03,190
GBBFS,2018-10-28,143
GBBFS,2021-03-28,62
GBCDF,2022-01-16,71
GBDCT,2017-07-30,435
GBDCT,2018-01-07,252
GBDCT,2020-03-22,188
GBFXS,2017-01-08,3130
GBFXS,2017-01-29,3863
GBFXS,2019-08-18,5018
GBFXS,2021-08-22,5463
GBFXS,2023-10-29,3015
GBGMO,2021-09-12,186
GBGMO,2022-10-09,127
GBLDS,2018-12-09,272
GBLDS,2021-06-13,193
GBLDS,2021-06-27,228
GBLGP,2024-09-22,938
GBLGP,2024-11-10,2222
GBLPL,2019-02-10,483
GBMNC,2018-05-13,444
GBSFD,2017-02-26,145
GBSFD,2017-08-20,148
GBSOU,2023-09-03,507
GBSSH,2020-07-05,121
GBTEE,2020-11-08,111
GBBGH,2017-05-07,1008
GBDCT,2018-04-01,267
GBSFD,2022-01-02,128
GBSOU,2019-08-04,159
GBCDF,2022-07-17,74
GBTEE,2020-01-05,107
GBCDF,2018-06-10,26
GBBGH,2017-08-13,994
GBBGH,2022-03-20,482
GBCDF,2017-08-27,0
GBDCT,2022-10-16,77
GBDPT,2023-04-09,126
GBFXS,2021-12-05,4785
GBFXS,2022-12-25,1832
GBLDS,2022-06-26,128
GBLGP,2024-01-28,1116
GBMNC,2020-12-06,511
GBMNC,2022-06-19,327
GBSFD,2017-12-17,184
GBSFD,2024-06-23,325
GBSSH,2019-03-17,176
GBSSH,2020-07-26,122
GBWID,2020-01-19,439
GBWID,2023-02-12,386
GBWID,2023-04-09,263
GBWID,2024-10-06,427
GBBFS,2020-05-10,145
GBDCT,2023-01-15,46
GBSFD,2019-12-15,105
GBSSH,2017-04-16,162
GBCDF,2017-12-24,2
GBCDF,2024-04-14,37
GBBFS,2017-11-12,198
GBBGH,2018-08-19,739
GBCDF,2019-09-01,135
GBCDF,2022-07-31,72
GBDCT,2017-06-18,634
GBDCT,2022-06-26,56
GBDCT,2023-07-09,102
GBFXS,2017-06-11,3927
GBFXS,2017-09-24,4815
GBGMO,2021-12-12,94
GBLDS,2018-03-25,390
GBLDS,2021-08-29,137
GBLDS,2022-11-20,177
GBLDS,2023-09-03,183
GBLDS,2024-05-05,159
GBLPL,2017-06-18,274
GBLPL,2021-01-17,375
GBLPL,2022-02-06,337
GBSFD,2018-06-24,182
GBSOU,2024-09-22,554
GBSSH,2018-08-26,166
GBSSH,2024-11-03,130
GBTEE,2021-04-18,295
GBWID,2017-04-09,358
GBCDF,2020-06-21,93
GBCDF,2021-11-14,45
GBCDF,2024-06-23,40
GBDCT,2024-02-04,135
GBSFD,2017-08-13,191
GBLPL,2024-05-12,263
GBBGH,2022-05-15,488
GBBGH,2022-10-23,656
GBCDF,2021-02-07,129
GBFXS,2019-02-10,4547
GBFXS,2024-10-27,3483
GBGMO,2023-12-17,120
GBGMO,2024-09-08,105
GBLGP,2018-04-01,2057
GBLPL,2018-10-07,524
GBLPL,2019-12-15,573
GBLPL,2020-12-20,423
GBLPL,2021-08-08,486
GBLPL,2024-04-07,386
GBMNC,2019-01-13,486
GBSFD,2024-12-29,126
GBSSH,2017-09-03,89
GBSSH,2024-02-18,121
GBTEE,2019-09-08,290
GBWID,2019-02-24,618
GBBFS,2021-01-10,96
GBBFS,2023-01-01,61
GBGMO,2024-10-27,175
GBSOU,2017-11-19,493
GBBFS,2024-11-24,113
GBBFS,2024-12-15,111
GBDPT,2024-06-16,295
GBLPL,2018-05-27,590
GBSOU,2019-11-24,80
GBBFS,2018-12-30,39
GBBFS,2020-02-23,100
GBBFS,2023-08-20,136
GBBFS,2024-01-28,31
GBBFS,2024-10-27,61
GBCDF,2020-06-07,82
GBCDF,2023-03-26,42
GBDCT,2021-05-02,354
GBDPT,2024-02-18,170
GBFXS,2017-10-08,4614
GBFXS,2018-09-30,5278
GBFXS,2022-07-03,4660
GBFXS,2023-03-05,2928
GBGMO,2020-11-29,214
GBGMO,2021-08-01,255
GBGMO,2021-11-21,200
GBGMO,2022-12-11,100
GBLDS,2020-08-02,145
GBLGP,2017-02-19,1036
GBLGP,2019-03-03,1456
GBLGP,2023-07-16,1410
GBLPL,2023-08-06,229
GBLPL,2024-10-13,408
GBMNC,2022-03-27,267
GBSFD,2022-02-13,389
GBSFD,2024-07-21,453
GBSOU,2022-02-20,312
GBSOU,2022-10-16,533
GBSOU,2024-07-28,505
GBTEE,2021-04-11,375
GBCDF,2021-12-12,62
GBGMO,2025-01-05,63
GBTEE,2019-06-09,309
GBBFS,2018-04-22,131
GBBFS,2024-04-21,17
GBBFS,2024-06-09,117
GBBGH,2019-08-25,801
GBBGH,2023-06-25,487
GBDCT,2021-02-21,353
GBDCT,2024-04-21,61
GBDPT,2023-01-01,38
GBFXS,2018-02-11,4041
GBFXS,2020-12-27,3326
GBFXS,2024-02-18,4012
GBGMO,2017-08-13,246
GBGMO,2018-11-11,202
GBGMO,2018-12-02,294
GBGMO,2020-03-29,202
GBLDS,2020-09-27,172
GBLGP,2017-10-15,1248
GBLPL,2018-06-17,620
GBLPL,2019-12-08,572
GBLPL,2020-09-20,489
GBLPL,2023-03-26,248
GBMNC,2018-08-26,479
GBMNC,2019-03-03,415
GBMNC,2022-12-11,296
GBMNC,2023-12-10,304
GBSOU,2023-02-05,569
GBSOU,2023-09-24,582
GBSSH,2018-08-19,184
GBSSH,2020-05-17,113
GBSSH,2022-10-30,179
GBSSH,2024-04-28,158
GBTEE,2018-08-05,158
GBTEE,2020-10-11,129
GBTEE,2022-10-23,253
GBTEE,2024-10-13,171
GBBFS,2021-01-03,43
GBCDF,2024-11-03,65
GBLGP,2024-08-18,1197
GBTEE,2024-07-21,249
GBBFS,2018-02-04,59
GBSFD,2024-12-01,378
GBSSH,2022-08-14,73
GBWID,2023-03-19,233
GBSSH,2022-09-04,74
GBCDF,2023-01-29,63
GBCDF,2018-11-18,0
GBBGH,2020-08-09,546
GBBGH,2024-04-28,417
GBDCT,2020-04-26,233
GBFXS,2018-02-25,5012
GBFXS,2018-11-25,4469
GBFXS,2019-02-17,4975
GBFXS,2020-01-12,5455
GBFXS,2021-08-08,6177
GBFXS,2023-04-23,2797
GBGMO,2017-09-03,154
GBGMO,2021-04-18,179
GBLDS,2018-10-14,263
GBLGP,2017-08-20,1379
GBLGP,2023-10-15,1336
GBLPL,2023-04-23,338
GBMNC,2018-10-21,458
GBMNC,2020-04-05,257
GBMNC,2021-12-19,329
GBMNC,2022-07-10,180
GBSFD,2017-06-18,176
GBSFD,2018-11-25,222
GBSFD,2024-12-08,391
GBSOU,2019-03-17,202
GBSOU,2024-03-24,586
GBSOU,2024-11-03,930
GBSSH,2022-08-07,41
GBTEE,2020-10-25,167
GBWID,2018-05-13,313
GBBGH,2020-12-27,338
GBDPT,2021-04-18,74
GBLDS,2017-12-24,325
GBSOU,2024-01-21,516
GBSOU,2024-03-10,593
GBBFS,2019-02-24,195
GBTEE,2023-05-07,218
GBBFS,2017-07-23,148
GBBFS,2017-08-27,213
GBBFS,2022-11-06,153
GBBFS,2024-09-15,127
GBBGH,2019-09-08,878
GBBGH,2022-04-17,443
GBDCT,2019-07-28,300
GBFXS,2022-06-12,2574
GBGMO,2022-03-20,148
GBLDS,2021-05-16,207
GBLDS,2021-07-25,210
GBLGP,2018-09-09,1336
GBLGP,2023-06-04,1456
GBLPL,2020-03-15,538
GBLPL,2021-07-18,522
GBLPL,2021-09-26,490
GBMNC,2020-03-08,438
GBSFD,2018-10-28,237
GBSOU,2017-09-10,775
GBSOU,2020-05-10,335
GBSOU,2024-06-09,563
GBSOU,2024-10-27,490
GBSSH,2021-07-25,172
GBSSH,2023-11-26,103
GBWID,2019-01-13,599
GBWID,2019-05-05,710
GBDCT,2020-08-30,182
GBLDS,2024-02-11,157
GBLPL,2022-02-20,246
GBGMO,2021-05-23,148
GBCDF,2018-01-28,0
GBBFS,2022-03-20,47
GBCDF,2022-01-09,68
GBCDF,2022-08-07,59
GBCDF,2023-03-12,71
GBDCT,2024-10-27,130
GBFXS,2019-11-24,3933
GBFXS,2021-12-26,3819
GBLDS,2019-12-15,200
GBLGP,2017-09-17,1575
GBLGP,2023-07-02,1727
GBLGP,2023-11-05,1227
GBLPL,2018-11-25,582
GBMNC,2018-01-14,754
GBSOU,2020-03-22,344
GBSOU,2023-10-22,479
GBSSH,2019-12-01,117
GBTEE,2018-12-02,269
GBTEE,2019-06-16,377
GBWID,2019-07-07,565
GBDPT,2020-02-16,34
GBGMO,2022-09-04,95
GBSFD,2020-05-17,109
GBWID,2021-03-21,537
GBWID,2024-11-03,489
GBCDF,2024-12-01,74
GBSSH,2023-04-23,162
GBBFS,2022-05-22,131
GBBGH,2022-10-02,519
GBCDF,2019-11-10,180
GBCDF,2021-03-21,99
GBCDF,2022-06-26,74
GBCDF,2024-04-07,57
GBDCT,2017-03-26,330
GBDPT,2021-01-24,50
GBDPT,2022-10-23,209
GBFXS,2017-12-10,4011
GBFXS,2018-07-08,3760
GBFXS,2020-06-07,3833
GBGMO,2021-01-10,229
GBLDS,2021-04-11,112
GBLGP,2024-07-28,1205
GBMNC,2019-11-10,354
GBSFD,2022-05-29,330
GBSOU,2019-06-09,164
GBSSH,2018-07-22,137
GBTEE,2019-10-20,176
GBWID,2019-09-01,480
GBDCT,2021-12-26,104
GBLPL,2023-06-25,366
GBSFD,2017-12-31,102
GBSOU,2017-05-14,466
GBSSH,2018-12-09,221
GBBFS,2023-03-12,141
GBBGH,2017-05-28,1158
GBBGH,2018-12-30,281
GBDCT,2020-12-20,318
GBDPT,2024-05-19,186
GBFXS,2022-03-13,4925
GBLDS,2018-10-28,230
GBLDS,2018-11-18,237
GBLDS,2020-04-26,170
GBLGP,2017-11-26,1369
GBLGP,2022-02-06,2165
GBLGP,2024-03-24,1720
GBLPL,2022-11-27,559
GBLPL,2023-10-01,313
GBLPL,2023-10-22,370
GBMNC,2024-08-11,260
GBSFD,2020-07-05,115
GBSOU,2017-08-27,917
GBSOU,2024-07-14,631
GBTEE,2017-05-07,220
GBTEE,2019-02-10,264
GBTEE,2023-12-24,156
GBMNC,2018-03-18,668
GBMNC,2020-06-28,306
GBCDF,2018-08-26,0
GBSOU,2019-06-30,170
GBSSH,2022-06-05,83
GBBFS,2022-02-06,81
GBBGH,2021-08-15,436
GBBGH,2022-05-08,590
GBDPT,2022-09-18,187
GBGMO,2020-08-09,261
GBGMO,2024-01-14,89
GBLGP,2018-11-18,1167
GBLGP,2023-12-10,1376
GBLPL,2024-09-01,198
GBMNC,2018-02-04,653
GBMNC,2022-01-16,384
GBMNC,2022-11-06,407
GBSFD,2017-05-28,198
GBSFD,2018-10-14,243
GBSFD,2020-04-05,82
GBSFD,2023-01-15,328
GBSOU,2017-07-30,531
GBSOU,2020-03-15,336
GBSOU,2020-04-19,367
GBSSH,2021-03-21,127
GBWID,2017-01-22,517
GBWID,2018-11-11,599
GBWID,2023-12-03,467
GBBFS,2017-06-25,182
GBCDF,2022-10-16,74
GBDPT,2020-10-04,44
GBDPT,2022-03-27,86
GBSSH,2018-05-20,190
GBSSH,2024-09-22,118
GBTEE,2017-03-12,310
GBSSH,2022-05-22,120
GBBFS,2019-05-05,213
GBBFS,2023-10-08,69
GBBGH,2020-05-10,417
GBCDF,2019-04-21,87
GBDCT,2017-08-20,404
GBDCT,2019-10-27,367
GBDCT,2020-08-16,306
GBDCT,2024-05-26,177
GBDPT,2020-03-08,102
GBDPT,2021-01-17,46
GBFXS,2019-07-14,4917
GBFXS,2024-03-10,3667
GBFXS,2024-09-15,2898
GBLDS,2020-09-06,126
GBLGP,2018-08-05,1225
GBLGP,2019-08-18,1113
GBLGP,2020-12-20,1490
GBLGP,2024-04-07,1327
GBLPL,2017-03-12,220
GBLPL,2020-02-02,484
GBLPL,2023-01-22,451
GBSFD,2019-12-29,79
GBSFD,2024-07-07,243
GBSOU,2021-01-17,387
GBSSH,2019-10-13,157
GBWID,2017-09-24,466
GBWID,2021-06-20,390
GBBFS,2019-03-24,178
GBCDF,2024-09-01,33
GBDCT,2021-10-17,129
GBFXS,2023-07-30,2742
GBLDS,2023-07-09,190
GBSFD,2018-09-09,247
GBSFD,2022-07-10,329
GBSSH,2017-11-12,163
GBTEE,2023-11-26,222
GBTEE,2024-03-03,217
GBWID,2020-02-02,491
GBBGH,2024-12-29,100
GBCDF,2021-02-14,92
GBLDS,2018-12-30,74
GBSSH,2022-11-27,180
GBBFS,2020-11-15,85
GBBGH,2017-11-19,1102
GBBGH,2022-05-29,507
GBBGH,2023-07-09,485
GBBGH,2024-02-11,504
GBDCT,2021-01-03,138
GBFXS,2022-03-20,4946
GBFXS,2023-08-27,3326
GBGMO,2020-05-24,167
GBGMO,2023-07-16,163
GBLDS,2017-03-26,201
GBLDS,2024-11-24,194
GBLGP,2024-07-14,1359
GBMNC,2017-10-01,834
GBMNC,2024-06-09,248
GBSOU,2020-10-18,325
GBDPT,2020-09-27,56
GBDPT,2023-02-12,179
GBGMO,2023-04-30,159
GBMNC,2018-04-15,553
GBSSH,2019-06-09,172
GBBFS,2021-05-23,75
GBDPT,2020-12-20,48
GBSSH,2024-12-01,103
GBCDF,2024-08-18,65
GBSSH,2022-10-16,134
GBCDF,2023-04-09,62
GBBFS,2019-04-21,158
GBBFS,2020-10-18,100
GBBFS,2023-01-15,131
GBBGH,2020-02-23,459
GBBGH,2020-10-04,551
GBBGH,2021-10-03,500
GBCDF,2023-02-26,103
GBDPT,2023-01-08,117
GBGMO,2019-05-05,382
GBGMO,2023-08-27,149
GBGMO,2024-06-02,107
GBLDS,2022-01-02,71
GBLDS,2022-03-13,186
GBLGP,2018-03-04,1086
GBLGP,2018-05-20,1394
GBLGP,2022-12-18,1265
GBLPL,2018-02-04,428
GBLPL,2018-08-26,539
GBLPL,2018-12-02,540
GBLPL,2021-04-18,402
GBSFD,2018-07-15,174
GBSOU,2019-07-28,171
GBSOU,2020-01-26,177
GBSOU,2022-06-26,482
GBSSH,2018-05-27,225
GBSSH,2023-02-12,199
GBDCT,2020-05-03,263
GBLDS,2024-09-22,98
GBSSH,2023-10-29,123
GBDPT,2020-12-13,43
GBLPL,2019-12-29,173
GBCDF,2023-12-31,7
GBSSH,2023-07-02,127
GBBFS,2018-11-18,88
GBBFS,2021-01-17,158
GBBFS,2021-10-03,131
GBBGH,2017-07-16,951
GBBGH,2022-05-22,538
GBBGH,2023-06-11,463
GBDCT,2019-09-29,293
GBDPT,2023-06-11,200
GBFXS,2017-12-17,4313
GBFXS,2019-10-27,4729
GBFXS,2023-11-19,2971
GBGMO,2019-09-29,338
GBGMO,2020-06-28,136
GBGMO,2021-11-07,178
GBLDS,2020-07-26,149
GBLGP,2019-01-20,1310
GBLGP,2023-03-19,1678
GBLPL,2017-03-05,422
GBLPL,2020-01-05,422
GBSFD,2023-09-10,421
GBSSH,2021-07-18,203
GBTEE,2017-10-15,345
GBTEE,2018-12-23,195
GBTEE,2020-08-23,229
GBWID,2019-08-25,573
GBWID,2019-09-08,497
GBWID,2021-03-14,491
GBWID,2022-12-11,390
GBWID,2023-01-22,416
GBWID,2024-07-28,412
GBBFS,2018-04-29,163
GBDCT,2023-01-22,42
GBGMO,2019-04-28,297
GBMNC,2024-12-08,324
GBWID,2019-09-15,499
GBDPT,2020-04-05,28
GBMNC,2024-06-30,181
GBSFD,2023-03-19,277
GBDCT,2024-01-21,91
GBBFS,2019-02-17,192
GBCDF,2019-04-07,81
GBCDF,2021-10-31,74
GBDCT,2019-07-07,346
GBDCT,2020-10-18,305
GBFXS,2020-03-01,3964
