pool,week,import
GBGMO,2021-04-25,214
GBGMO,2021-11-28,137
GBLDS,2018-05-06,338
GBLDS,2018-06-24,301
GBLDS,2020-11-29,193
GBLDS,2021-05-02,205
GBLGP,2018-08-26,1268
GBLGP,2019-05-26,1375
GBLGP,2020-03-08,1664
GBLGP,2023-02-12,1737
GBLPL,2024-10-20,403
GBMNC,2019-02-17,506
GBMNC,2019-10-27,449
GBSOU,2017-02-19,555
GBSOU,2019-07-07,192
GBSOU,2019-10-20,100
GBSOU,2019-12-15,85
GBSOU,2023-10-29,519
GBSSH,2019-09-08,198
GBTEE,2017-01-29,99
GBTEE,2020-07-12,277
GBWID,2020-05-24,220
GBDPT,2024-02-25,233
GBMNC,2019-01-27,486
GBSFD,2018-07-08,223
GBTEE,2017-03-05,266
GBSFD,2019-03-17,244
GBSFD,2024-08-18,377
GBBFS,2022-01-09,23
GBBGH,2021-02-14,465
GBBGH,2021-04-25,435
GBCDF,2021-10-17,90
GBCDF,2024-05-19,56
GBDCT,2021-11-07,109
GBDPT,2023-04-23,160
GBFXS,2017-04-30,4258
GBFXS,2019-03-10,5428
GBFXS,2019-05-05,6096
GBFXS,2024-01-14,3115
GBGMO,2023-12-10,89
GBGMO,2024-05-12,152
GBLDS,2020-05-31,116
GBLDS,2020-08-09,175
GBLDS,2022-05-29,198
GBLGP,2017-05-28,1293
GBLGP,2020-03-22,1379
GBLGP,2023-07-23,1146
GBLGP,2024-10-20,1191
GBLPL,2017-12-03,346
GBLPL,2022-06-26,409
GBMNC,2018-04-01,577
GBMNC,2018-05-27,462
GBMNC,2023-02-05,274
GBMNC,2023-04-02,204
GBMNC,2023-12-03,267
GBSFD,2018-04-29,220
GBSOU,2021-06-27,522
GBSOU,2023-05-28,560
GBTEE,2017-05-14,235
GBTEE,2022-10-02,311
GBWID,2019-07-14,548
GBWID,2020-08-16,508
GBWID,2022-08-28,346
GBBGH,2021-04-04,533
GBGMO,2023-10-22,125
GBGMO,2024-11-03,215
GBLDS,2018-04-01,335
GBWID,2020-11-22,427
GBWID,2022-11-06,558
GBDCT,2022-05-01,59
GBCDF,2017-01-08,0
GBBGH,2018-03-18,1079
GBBGH,2024-01-21,301
GBCDF,2020-10-11,170
GBFXS,2019-12-01,3688
GBLDS,2019-05-05,289
GBLDS,2022-04-03,95
GBLGP,2018-04-22,2100
GBLGP,2022-09-25,1409
GBLGP,2023-04-09,1635
GBLPL,2023-08-13,269
GBLPL,2024-12-15,441
GBMNC,2019-07-21,529
GBSFD,2018-03-25,182
GBSFD,2020-04-19,90
GBSFD,2024-04-07,347
GBSOU,2023-03-19,689
GBSOU,2024-07-07,560
GBSSH,2018-08-05,94
GBSSH,2021-12-05,159
GBWID,2018-02-25,565
GBWID,2019-03-17,493
GBWID,2021-05-02,432
GBBFS,2021-09-05,125
GBDPT,2022-10-09,50
GBSFD,2023-09-17,438
GBTEE,2017-07-23,235
GBBFS,2024-04-28,90
GBCDF,2024-10-27,63
GBCDF,2017-08-06,0
GBBFS,2023-04-09,124
GBBGH,2017-02-19,1084
GBBGH,2019-07-28,776
GBDCT,2022-12-11,44
GBFXS,2021-03-14,5023
GBGMO,2021-08-22,212
GBGMO,2023-03-05,181
GBLDS,2017-09-03,293
GBLGP,2020-01-05,953
GBLGP,2021-04-25,2189
GBLGP,2023-04-16,1626
GBLGP,2024-12-15,788
GBLPL,2021-08-15,409
GBMNC,2017-10-08,857
GBMNC,2020-01-19,389
GBMNC,2020-10-04,396
GBMNC,2021-03-21,422
GBSFD,2021-09-26,410
GBSOU,2019-06-23,188
GBSOU,2021-04-04,303
GBSSH,2021-08-29,156
GBTEE,2023-03-12,140
GBWID,2018-01-14,635
GBWID,2020-07-19,469
GBWID,2022-06-26,270
GBBGH,2025-01-12,414
GBCDF,2023-11-26,58
GBDCT,2023-11-26,56
GBGMO,2022-05-15,143
GBWID,2017-04-16,301
GBCDF,2018-07-08,26
GBBFS,2023-01-29,203
GBBFS,2024-11-17,130
GBBGH,2019-03-17,658
GBCDF,2018-01-21,3
GBCDF,2019-02-03,55
GBCDF,2019-05-05,96
GBCDF,2020-05-10,61
GBDCT,2017-09-17,537
GBDCT,2021-05-16,213
GBFXS,2017-04-16,2728
GBFXS,2017-11-12,4116
GBFXS,2020-07-05,4580
GBFXS,2023-01-15,3069
GBGMO,2018-09-02,176
GBGMO,2021-02-21,190
GBLGP,2020-10-04,2093
GBLPL,2018-03-11,429
GBMNC,2023-07-09,260
GBSFD,2021-10-10,394
GBSOU,2017-01-15,396
GBSOU,2020-10-25,328
GBSSH,2022-05-08,88
GBSSH,2023-07-16,117
GBSSH,2024-08-04,52
GBTEE,2019-04-07,195
GBTEE,2020-06-28,262
GBTEE,2020-07-26,239
GBTEE,2023-03-05,142
GBTEE,2024-04-21,201
GBWID,2017-09-17,559
GBWID,2021-08-15,366
GBBFS,2020-11-22,297
GBBFS,2021-03-14,88
GBBGH,2020-08-02,428
GBDPT,2020-05-24,2
GBDPT,2020-09-06,36
GBDPT,2024-01-28,155
GBGMO,2024-06-23,125
GBMNC,2017-01-15,690
GBMNC,2024-12-22,295
GBSOU,2022-10-23,483
GBTEE,2018-06-17,268
GBTEE,2023-01-29,190
GBDPT,2020-01-26,138
GBTEE,2023-02-19,170
GBBGH,2021-03-07,621
GBCDF,2021-04-25,89
GBCDF,2021-08-08,99
GBDCT,2019-10-06,313
GBDCT,2022-10-23,51
GBDPT,2022-07-03,146
GBFXS,2017-10-29,4332
GBFXS,2022-10-23,4193
GBGMO,2020-08-23,149
GBGMO,2023-03-19,152
GBGMO,2023-08-06,142
GBGMO,2024-02-18,150
GBLPL,2021-11-21,585
GBMNC,2024-05-12,242
GBSFD,2020-02-09,173
GBSOU,2022-02-06,398
GBSOU,2024-12-15,602
GBSSH,2024-07-28,67
GBTEE,2017-02-05,171
GBTEE,2022-03-06,247
GBTEE,2023-07-09,275
GBBFS,2018-05-27,129
GBSSH,2018-03-25,146
GBCDF,2018-04-01,1
GBBFS,2020-02-02,188
GBBFS,2021-04-25,79
GBBGH,2019-11-24,686
GBBGH,2021-06-20,554
GBDCT,2024-11-03,78
GBDPT,2020-10-18,121
GBFXS,2017-10-01,4989
GBFXS,2018-06-24,3786
GBFXS,2021-04-11,3599
GBGMO,2021-02-28,174
GBGMO,2022-06-26,128
GBLGP,2020-03-29,1269
GBLGP,2020-08-16,1351
GBLGP,2021-11-28,2379
GBLGP,2022-04-03,1901
GBLPL,2019-04-07,599
GBLPL,2023-09-24,314
GBSFD,2023-04-16,388
GBSFD,2023-08-13,416
GBSOU,2017-01-08,296
GBSOU,2024-04-14,703
GBSSH,2018-05-13,135
GBSSH,2019-01-13,128
GBTEE,2020-06-21,254
GBWID,2023-10-08,366
GBWID,2024-12-01,558
GBBFS,2024-05-26,97
GBCDF,2022-11-06,84
GBDCT,2022-02-13,139
