,value,params_batch_size,params_gnn_hidden,params_learning_rate,params_lstm_hidden,params_lstm_dropout,params_lstm_layers,user_attrs_epochs,horizon
0,0.2764463722705841,8,640,4.992079429150896e-05,320,0.7,1,69,1
1,0.3351024389266968,32,896,3.832617916387672e-05,512,0.0,1,74,2
2,0.351470410823822,16,704,6.218289031401284e-05,704,0.5,2,51,3
3,0.3624327778816223,32,960,0.00011755392685488554,320,0.0,2,63,4
4,0.4058961570262909,16,448,0.0004584271650769274,704,0.7,1,73,5
5,0.42901185154914856,8,384,8.28856480005589e-05,768,0.30000000000000004,2,54,6
6,0.3914833068847656,32,320,8.990231270694695e-05,960,0.7,1,69,7
7,0.4148372709751129,16,832,1.6516004298625274e-05,320,0.7,2,90,8
8,0.44012999534606934,24,960,3.19777412329251e-05,704,0.5,1,81,9
9,0.4486507475376129,8,1024,2.4916124139938597e-05,704,0.7,2,54,10
10,0.5542313456535339,8,768,1.1127332522038086e-05,1024,0.6000000000000001,2,29,11
11,0.5441738963127136,16,1024,0.00012356818924950716,320,0.7,2,30,12
12,0.5401033163070679,8,1024,3.9909258579231764e-05,576,0.7,1,44,13
